Row Labels,Sum of clean_income,Sum of Offline_Spend,Sum of Online_Spend
Jan,372940.47,11810900,7609595.12
Feb,278459.09,8985400,5820857.57
Mar,313365.62,10488500,6965280.31
Apr,386361.49,13459000,8196922.13
May,286385.98,9930000,7554008.82
Jun,280327.32,11124000,7394771.23
Jul,351898.79,11366500,8993281.04
Aug,372531.18,16834500,11551233.77
Sep,320430.54,11886500,7371126.34
Oct,395989.05,12722500,7813772.39
Nov,432684.22,11338500,8214688.56
Dec,472681.5,17720000,11244402.01
Grand Total,4264055.25,147666300,98729939.29
